URL,Title,Published,Author,Abstract,Atom Category,Filtered Category,Search Term
http://arxiv.org/abs/2202.01368v1,"TiO2 with Super Narrow Bandgap Achieved in One-Step Single-Mode Magnetic
  Microwave Induced Plasma Treatment",2022-02-03,Takashi Shirai,"TiO2 with super narrow bandgap (1.1 eV~) are successfully synthesized via a
facile and novel one-step single-mode magnetic microwave induced plasma
treatment. The selectively surface Ti3+-doping on obtained TiO2 as trapping
centers which significantly restrain the photo-excited carrier recombination
and achieve the enhancement of visible-light photocatalytic performance. In
addition, the surface chemical composition of TiOx is precisely controlled in a
wide region of 1.19 < x < 1.92 during one-step reaction. A detailed XPS
analysis reveals that the surface formed Ti3+ shows highly thermal/chemical
stability even through high-temperature treatment (~800 oC) in oxidative
atmosphere and photocatalytic reaction.",physics.app-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2202.00648v1,Evidence for Super-Polynomial Advantage of QAOA over Unstructured Search,2022-02-01,Daniel O'Malley,"We compare the performance of several variations of the Quantum Alternating
Operator Ansatz (QAOA) on constrained optimization problems. Specifically, we
study the Clique, Ring, and Grover mixers as well as the traditional objective
value and recently introduced threshold-based phase separators. These are
studied through numerical simulation on k-Densest Subgraph, Maximum k-Vertex
Cover, and Maximum Bisection problems of size up to n=18 on Erd\""os-Renyi
graphs. We show that only one of these QAOA variations, the Clique mixer with
objective value phase separator, outperforms Grover-style unstructured search,
with a potentially super-polynomial advantage.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.13182v1,Learning Super-Features for Image Retrieval,2022-01-31,Yannis Kalantidis,"Methods that combine local and global features have recently shown excellent
performance on multiple challenging deep image retrieval benchmarks, but their
use of local features raises at least two issues. First, these local features
simply boil down to the localized map activations of a neural network, and
hence can be extremely redundant. Second, they are typically trained with a
global loss that only acts on top of an aggregation of local features; by
contrast, testing is based on local feature matching, which creates a
discrepancy between training and testing. In this paper, we propose a novel
architecture for deep image retrieval, based solely on mid-level features that
we call Super-features. These Super-features are constructed by an iterative
attention module and constitute an ordered set in which each element focuses on
a localized and discriminant image pattern. For training, they require only
image labels. A contrastive loss operates directly at the level of
Super-features and focuses on those that match across images. A second
complementary loss encourages diversity. Experiments on common landmark
retrieval benchmarks validate that Super-features substantially outperform
state-of-the-art methods when using the same number of features, and only
require a significantly smaller memory footprint to match their performance.
Code and models are available at: https://github.com/naver/FIRe.",cs.CV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.12764v1,T-odd asymmetries in the radiative two-pion tau decay,2022-01-30,Zhi-Hui Guo,"In this work, we perform a detailed study of the
$\tau^-\to\pi^-\pi^0\gamma\nu$ decay process within the resonance chiral
theory. We pay special attention to the triple-product T-odd asymmetry in the
$\tau^-\to\pi^-\pi^0\gamma\nu$ process, which can serve as a useful quantity to
probe the CP violation in the $\tau$ decays. The minimal resonance chiral
Lagrangian and the odd-intrinsic parity resonance operators are simultaneously
included to calculate the decay amplitudes. Various invariant-mass
distributions in the $\pi^-\pi^0$, $\pi^-\gamma$ and $\pi^0\gamma$ systems are
studied and they reveal different resonance dynamics. We further predict the
intriguing nonzero T-odd asymmetry distributions, which may provide useful
guidelines for future experimental measurements conducted at the Belle-II and
super tau-charm facilities.",hep-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.11996v1,Deep Networks for Image and Video Super-Resolution,2022-01-28,A. N. Rajagopalan,"Efficiency of gradient propagation in intermediate layers of convolutional
neural networks is of key importance for super-resolution task. To this end, we
propose a deep architecture for single image super-resolution (SISR), which is
built using efficient convolutional units we refer to as mixed-dense connection
blocks (MDCB). The design of MDCB combines the strengths of both residual and
dense connection strategies, while overcoming their limitations. To enable
super-resolution for multiple factors, we propose a scale-recurrent framework
which reutilizes the filters learnt for lower scale factors recursively for
higher factors. This leads to improved performance and promotes parametric
efficiency for higher factors. We train two versions of our network to enhance
complementary image qualities using different loss configurations. We further
employ our network for video super-resolution task, where our network learns to
aggregate information from multiple frames and maintain spatio-temporal
consistency. The proposed networks lead to qualitative and quantitative
improvements over state-of-the-art techniques on image and video
super-resolution benchmarks.",eess.IV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.11532v1,Water content trends in K2-138 and other low-mass multiplanetary systems,2022-01-27,Alexandre Santerne,"Super-Earths and sub-Neptunes have been found simultaneously in
multiplanetary systems, suggesting that they are appropriate to study
composition and formation within the same environment. We perform a homogeneous
interior structure analysis of five multiplanetary systems to explore the
compositional trends and its relation with planet formation. For K2-138, we
present revised masses and stellar host chemical abundances to improve the
constraints on the planetary interior. We conduct a line-by-line differential
spectroscopic analysis on the stellar spectra to obtain its chemical abundances
and the planetary parameters. We select multiplanetary systems with five or
more low-mass planets that have both mass and radius data available. We carry
out a homogeneous interior structure analysis on the systems K2-138, TOI-178,
Kepler-11, Kepler-102 and Kepler-80 and estimate the volatile mass fraction of
their planets assuming a volatile layer constituted of water in steam and
supercritical phases. Our interior-atmosphere model takes into account the
effects of irradiation on the surface conditions. K2-138 inner planets present
an increasing volatile mass fraction with distance from its host star, while
the outer planets present an approximately constant water content. This is
similar to the trend observed in TRAPPIST-1 in a previous analysis with the
same interior-atmosphere model. The Kepler-102 system could potentially present
this trend. In all multiplanetary systems, the low volatile mass fraction of
the inner planets could be due to atmospheric escape while the higher volatile
mass fraction of the outer planets can be the result of accretion of ice-rich
material in the vicinity of the ice line with later inward migration.
Kepler-102 and Kepler-80 present inner planets with high core mass fractions
which could be due to mantle evaporation, impacts or formation in the vicinity
of rocklines.",astro-ph.EP,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.11361v2,"Gaussian heat kernel estimates of Bamler-Zhang type along super Ricci
  flow",2022-01-27,Yohei Sakurai,"Bamler-Zhang have developed geometric analysis on Ricci flow with scalar
curvature bound. The aim of this paper is to extend their work to various
geometric flows. We generalize some of their results to super Ricci flow whose
Muller quantity is non-negative, and obtain Gaussian heat kernel estimates.",math.DG,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.11551v1,"The Super-Alfvénic Rotational Instability in accretion disks about
  black holes",2022-01-27,Rony Keppens,"The theory of instability of accretion disks about black holes, neutron stars
or proto-planets, is revisited by means of the recent method of the Spectral
Web. The cylindrical accretion disk differential equation is shown to be
governed by the forward and backward Doppler-shifted continuous Alfv\'en
spectra $\Omega_{\rm A}^\pm \equiv m \Omega \pm \omega_{\rm A}$, where
$\omega_{\rm A}$ is the static Alfv\'en frequency. It is crucial to take
non-axisymmetry ($m \ne 0$) and super-Alfv\'enic rotation of the Doppler frames
($|m\Omega| \gg |\omega_{\rm A}|$) into account. The continua $\Omega_{\rm
A}^+$ and $\Omega_{\rm A}^-$ then overlap, ejecting a plethora of
Super-Alfv\'enic Rotational Instabilities (SARIs). In-depth analysis for small
inhomogeneity shows that the two Alfv\'en singularities reduce the extent of
the modes to sizes much smaller than the width of the accretion disk.
Generalization for large inhomogeneity leads to the completely unprecedented
result that, for mode numbers $|k| \gg |m|$, any complex $\omega$ in a wide
neighborhood of the real axis is an approximate `eigenvalue'. The difference
with genuine eigenmodes is that the amount of complementary energy to excite
the modes is tiny, $|W_{\rm com}| \le c$, with $c$ the machine accuracy of the
computation. This yields a multitude of two-dimensional continua of
quasi-discrete modes: quasi-continuum SARIs. We conjecture that the onset of 3D
turbulence in magnetized accretion disks is governed, not by the excitation of
discrete axisymmetric Magneto-Rotational Instabilities, but by the excitation
of modes from these two-dimensional continua of quasi-discrete non-axisymmetric
Super-Alfv\'enic Rotational Instabilities.",astro-ph.HE,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.11487v1,A Calculus for Magnetic Pseudodifferential Super Operators,2022-01-27,Max Lein,"This work develops a magnetic pseudodifferential calculus for super operators
OpA(F); these map operators onto operators (as opposed to Lp functions onto Lq
functions). Here, F could be a tempered distribution or a H\""ormander symbol.
An important example is Liouville super operators defined in terms of a
magnetic pseudodifferential operator. Our work combines ideas from magnetic
Weyl calculus developed in [MP04, IMP07, Lei11] and the pseudodifferential
calculus on the non-commutative torus from [HLP18a, HLP18b]. Thus, our calculus
is inherently gauge-covariant, which means all essential properties of OpA(F)
are determined by properties of the magnetic field B = dA rather than the
vector potential A.
  There are conceptual differences to ordinary pseudodifferential theory. For
example, in addition to an analog of the (magnetic) Weyl product that emulates
the composition of two magnetic pseudodifferential super operators on the level
of functions, the so-called semi-super product describes the action of a
pseudodifferential super operator on a pseudodifferential operator.",math-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.09238v1,"Compact embeddings for fractional super and sub harmonic functions with
  radial symmetry",2022-01-23,Vladimir Georgiev,"We prove compactness of the embeddings in Sobolev spaces for fractional super
and sub harmonic functions with radial symmetry. The main tool is a pointwise
decay for radially symmetric functions belonging to a function space defined by
finite homogeneous Sobolev norm together with finite $L^2$ norm of the Riesz
potentials. As a byproduct we prove also existence of maximizers for the
interpolation inequalities in Sobolev spaces for radially symmetric fractional
super and sub harmonic functions.",math.FA,cat:quant-ph,all:super%20conducting
