URL,Title,Published,Author,Abstract,Atom Category,Filtered Category,Search Term
http://arxiv.org/abs/2202.01389v1,"An Empirical Review of Optimization Techniques for Quantum Variational
  Circuits",2022-02-03,Owen Lockwood,"Quantum Variational Circuits (QVCs) are often claimed as one of the most
potent uses of both near term and long term quantum hardware. The standard
approaches to optimizing these circuits rely on a classical system to compute
the new parameters at every optimization step. However, this process can be
extremely challenging both in terms of navigating the exponentially scaling
complex Hilbert space, barren plateaus, and the noise present in all
foreseeable quantum hardware. Although a variety of optimization algorithms are
employed in practice, there is often a lack of theoretical or empirical
motivations for this choice. To this end we empirically evaluate the potential
of many common gradient and gradient free optimizers on a variety of
optimization tasks. These tasks include both classical and quantum data based
optimization routines. Our evaluations were conducted in both noise free and
noisy simulations. The large number of problems and optimizers yields strong
empirical guidance for choosing optimizers for QVCs that is currently lacking.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2202.01076v1,"Quantum tunneling in graphene Corbino disk in a solenoid magnetic
  potential with wedge disclination",2022-02-02,Mohamed Mansouri,"We investigate the wedge disclination effect on quantum tunneling of a
Corbino disk in gapped-graphene of inner $R_1$ and outer $R_2$ radii in the
presence of magnetic flux $\Phi_i$. We solve Dirac equation for different
regions and obtain the solutions of energy spectrum in terms of Hankel
functions. The asymptotic behaviors for large arguments allow us to determine
the transmission, Fano factor and conductance. We establish the case where the
crystal symmetry is modified locally by replacing a hexagon by pentagon,
square, heptagon or octagon. We show that the wedge disclination $n$ modifies
the amplitude of transmission oscillations. We find that the period of Fano
factor oscillations is of the Aharonov-Bohm type, which strongly depends on $n$
where intense peaks are observed. As another result, $n$ changes the minimum
and period of conductance oscillations of the Aharonov-Bohm type. We show that
$n$ minimizes the effect of resonance and decreases the amplitude of
conductance magnitude $\Delta G$
  oscillations.",cond-mat.mes-hall,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.11127v1,Constant-time one-shot testing of large-scale graph states,2022-01-26,Sathyawageeswar Subramanian,"Fault-tolerant measurement-based quantum computation (MBQC) with recent
progress on quantum technologies leads to a promising scalable platform for
realizing quantum computation, conducted by preparing a large-scale graph state
over many qubits and performing single-qubit measurements on the state. With
fault-tolerant MBQC, even if the graph-state preparation suffers from errors
occurring at an unknown physical error rate, we can suppress the effect of the
errors. Verifying graph states is vital to test whether we can conduct MBQC as
desired even with such errors. However, problematically, existing
state-of-the-art protocols for graph-state verification by fidelity estimation
have required measurements on many copies of the entire graph state and hence
have been prohibitively costly in terms of the number of qubits and the
runtime. We here construct an efficient alternative framework for testing graph
states for fault-tolerant MBQC based on the theory of property testing. Our
test protocol accepts with high probability when the physical error rate is
small enough to make fault-tolerant MBQC feasible and rejects when the rate is
above the threshold of fault-tolerant MBQC. The novelty of our protocol is that
we use only a single copy of the $N$-qubit graph state and single-qubit Pauli
measurements only on a constant-sized subset of the qubits; thus, the protocol
has a constant runtime independently of $N$. Furthermore, we can immediately
use the rest of the graph state for fault-tolerant MBQC if the protocol
accepts. These results achieve a significant advantage over prior art for
graph-state verification in the number of qubits and the total runtime.
Consequently, our work offers a new route to a fast and practical framework for
benchmarking large-scale quantum state preparation.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.05069v1,"New Class of Landau Levels and Hall Phases in a 2D Electron Gas Subject
  to an Inhomogeneous Magnetic Field: An Analytic Solution",2022-01-13,Angel Rubio,"An analytic closed form solution is derived for the bound states of electrons
subject to a static, inhomogeneous ($1/r$-decaying) magnetic field, including
the Zeeman interaction. The solution provides access to many-body properties of
a two-dimensional, non-interacting, electron gas in the thermodynamic limit.
Radially distorted Landau levels can be identified as well as magnetic field
induced density and current oscillations close to the magnetic impurity. These
radially localised oscillations depend strongly on the coupling of the spin to
the magnetic field, which give rise to non-trivial spin currents. Moreover, the
Zeeman interaction introduces a lowest flat band for $E_F=0^+$ assuming a spin
$g_s$-factor of two. Surprisingly, in this case the charge and current
densities can be computed analytically in the thermodynamic limit. Numerical
calculations show that the total magnetic response of the electron gas remains
diamagnetic (similar to Landau levels) independent of the Fermi energy.
However, the contribution of certain, infinitely degenerate energy levels may
become paramagnetic. Furthermore, numerical computations of the Hall
conductivity reveal asymptotic properties of the electron gas, which are driven
by the anisotropy of the vector potential instead of the magnetic field, i.e.
become independent of spin. Eventually, the distorted Landau levels give rise
to different Hall conductivity phases, which are characterized by sharp sign
flips at specific Fermi energies. Overall, our work merges ""impurity"" with
Landau-level physics, which provides novel physical insights, not only locally,
but also in the asymptotic limit. This paves the way for a large number of
future theoretical as well as experimental investigations.",cond-mat.mes-hall,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.03338v1,Non-Abelian operation through scattering between chiral Dirac edge modes,2022-01-10,X. C. Xie,"We theoretically demonstrate that non-Abelian braiding operation can be
realized through the scattering between chiral Dirac edge modes (CDEMs) in
quantum anomalous Hall insulators by analytically deriving its S-matrix. Based
on the analytical model, we propose a viable device for the experimental
realization and detection of the non-Abelian braiding operations. Through
investigating the tunneling conductance in a discretized lattice model, the
non-Abelian properties of CDEMs could also be verified in a numerical way. Our
proposal for the CDEM-based braiding provides a new avenue for realizing
topologically protected quantum gates.",cond-mat.mes-hall,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.03072v1,"Comparative analysis of various protocols for high-precision tomography
  of qudits",2022-01-09,V. F. Lukichev,"Quantum tomography is an important tool for obtaining information about the
quantum state from experimental data. In this study, we conduct a comparative
analysis of various quantum tomography protocols, including protocols based on
highly symmetric sets of state vectors, on mutually unbiased bases (MUB), and
two-level transformations. Using the universal distribution for the fidelity of
quantum state tomography, we estimate the fidelity and efficiency of quantum
measurements for qudits of various dimensions as applied to a set of random
states uniformly distributed over the Haar measure.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.02899v1,"Measuring NISQ Gate-Based Qubit Stability Using a 1+1 Field Theory and
  Cycle Benchmarking",2022-01-08,Patrick Dreher,"Some of the most problematic issues that limit the implementation of
applications on Noisy Intermediate Scale Quantum (NISQ) machines are the
adverse impacts of both incoherent and coherent errors. We conducted an
in-depth study of coherent errors on a quantum hardware platform using a
transverse field Ising model Hamiltonian as a sample user application. We
report here on the results from these computations using several error
mitigation protocols that profile these errors and provide an indication of the
hardware qubit stability. Through a detailed set of measurements we identify
inter-day and intra-day qubit calibration drift and the impacts of quantum
circuit placement on groups of qubits in different physical locations on the
processor. This paper also discusses how these measurements can provide a
better understanding of these types of errors and how they may improve efforts
to validate the accuracy of quantum computations.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.01331v1,Condensed Matter Systems in Cavity Quantum Electrodynamics,2022-01-04,Vasil Rokaj,"Condensed matter physics and quantum electrodynamics (QED) have been long
considered as distinct disciplines. This situation is changing by the progress
in cavity QED materials. Motivated by these advances we aim to bridge these
fields by merging fundamental concepts coming from both sides. In the first
part of the thesis we present how non-relativistic QED can be constructed and
we discuss the light-matter interaction in different gauges and that neglecting
particular quadratic terms can lead to instabilities. In the second part, we
revisit the Sommerfeld model of the free electron gas in cavity QED and provide
the analytic solution for this paradigmatic system coupled to the cavity. We
show that the cavity field modifies the optical conductivity of the electron
gas and suppresses its Drude peak. Further, by constructing an effective field
theory in the continuum of photon modes we show how the photon field leads to a
many-body renormalization of the electron mass, which modifies the fermionic
quasiparticle excitations of the Fermi liquid. In the last part, we show that
translational symmetry for periodic materials in homogeneous magnetic fields
can be restored by embedding the problem into QED. This leads to a
generalization of Bloch's theory for electron-photon systems, that we named as
QED-Bloch theory, which can be applied for the description of periodic
materials in homogeneous magnetic fields and strongly coupled to the quantized
cavity field. As a first application we consider Landau levels coupled to a
cavity and we show that quasiparticle excitations between Landau levels and
photons appear, called Landau polaritons. Further, for periodic materials in
such setups, QED-Bloch theory predicts the emergence of novel fractal
polaritonic energy spectra, which we name as fractal polaritons. The fractal
polaritons are a polaritonic, QED analogue of the Hofstadter butterfly.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.13791v2,"Amplification of optical Schrödinger cat states with implementation
  protocol based on frequency comb",2021-12-27,Kaiquan Fan,"We proposed and analyzed a scheme to generate large-size Schr\""{o}dinger cat
states based on linear operations of Fock states and squeezed vacuum states and
conditional measurements. By conducting conditional measurements via photon
number detectors, two unbalanced Schr\""{o}dinger kitten states combined by a
beam splitter can be amplified to a large-size cat state with the same parity.
According to simulation results, two Schr\""{o}dinger odd kitten states of
$\beta=1.06$ and $\beta=1.11$ generated from one-photon-subtracted squeezed
vacuum states of $-$3 dB, are amplified to an odd cat state of $\beta=1.73$
with a fidelity of $F=99\%$. A large-size Schr\""{o}dinger odd cat state with
$\beta=2.51$ and $F=97.30\%$ is predicted when the input squeezed vacuum states
are increased to $-$5.91 dB. According to the analysis on the impacts of
experimental imperfections in practice, Schr\""{o}dinger odd cat states of
$\beta>2$ are available. A feasible configuration based on a quantum frequency
comb is developed to realize the large-size cat state generation scheme we
proposed.",quant-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.12696v1,The passage of a vortex electron over an inclined grating,2021-12-23,D. Karlovets,"We study Smith-Purcell radiation from a conducting grating generated by an
inclined passage of a shaped electron wave packet with an electric quadrupole
moment in the non-paraxial regime. Spreading of an asymmetric wave packet
induces quadrupole corrections to the radiation field. Although the
non-paraxial corrections stay small, they are dynamically enhanced during the
interaction of the electron with the grating whose length exceeds the Rayleigh
length of the packet.
  To simplify the possible experimental setup where such effects could be
measured, we study the dependence of these effects on the inclination angle,
i.e. the angle between the mean velocity of the packet and the surface of the
grating. There is a minimal angle such that the multipole expansion always
stays valid at the grating surface. In such a regime, the quadrupole
contribution to the Smith-Purcell radiation can become the leading one, which
represents a novel quantum effect impossible for classical point-like
electrons.
  Thus, the impact of the wave-packet shape (vortex structure or non-spherical
shape) can be observed experimentally by comparing the radiation for different
orientations of the grating in the single-electron regime.",quant-ph,cat:quant-ph,all:super%20conducting
