span,tag
Advanced Materials And Process Engineering Laboratory,group
Advancing Quantum Architecture Group,group
Ag Quantenoptik,group
Institute of Materials Research and Engineering,group
Air Force Research Laboratory Quantum Group,group
Alarcos Research Group - Quality in Quantum Computing,group
Alliance For Quantum Technologies,group
ARC Centre Of Excellence For Engineered Quantum Systems,group
Atomic, Mesoscopic And Optical Physics,group
Baidu Quantum Computing Institute,group
QUANTIC,group
Cretan Matter Waves,group
Beijing Academy Of Quantum Information Sciences,group
Bruss Group,group
Calculi, Algorithms, Programs And Proofs,group
Cambridge Research Laboratory,group
Cavity Quantum Optics Group,group
Center For Macroscopic Quantum States,group
Center For Quantum Engineering,group
Center For Quantum Information And Control,group
Center For Quantum Materials And Technology Eindhoven,group
Center For Quantum Nanoscience,group
Centre for Quantum Software and Information,group
Centre For Quantum Computation and Communication Technology,group
Centre For Quantum Information & Quantum Control,group
Centre for Quantum Technologies,group
CERN Quantum Technology Initiative,group
Cold Atomic Space-Time Laboratory,group
Cold Atoms And Quantum Optics Group,group
Complex Photonic Systems Group,group
Computational Nonlinear And Quantum Optics Group,group
Computer Science Theory Research Group,group
Condensed Matter Physics And Quantum Technology,group
Condensed Matter Theory Group (Nottingham),group
Cryptography And Quantum Information Group,group
Cubit Quantum Initiative,group
Damo Quantum Lab,group
Diamond Nanoscience Macquarie University,group
Division Of Quantum Physics And Quantum Information,group
Enabling Practical-Scale Quantum Computing,group
Engineering Quantum Systems Group,group
Entanglement Research Institute,group
Exotic Quantum Matter Laboratory,group
Femtosecond Lasers Applied To Material Structering And Transport Of Light Group,group
Fermilab Quantum Institute,group
Few-Body Problems Theory Group,group
Hannover Quantum Information Group,group
Harvard Quantum Initiative,group
Helen Diller Quantum Center,group
HHU Quantum Technology Group,group
Hitachi Cambridge Laboratory,group
HRL Laboratories,group
Huawei Noah's Ark Lab,group
InfiniQuant,group
Initiative At Northwestern For Quantum Information Research And Engineering,group
Institute For Functional Matter And Quantum Technologies,group
Institute For Integrated Circuits,group
Institute For Nanostructure Technology And Analytics,group
Institute For Quantum Computing,group
Institute For Quantum Information And Matter,group
Institute For Quantum Optics And Quantum Information,group
Institute For Quantum Science And Technology,group
Institute For Quantum Studies,group
Institute For Studies In Quantum Computation And Information,group
Institute For Theoretical Information Technology,group
Institute For Theoretical Physics (Itp),group
Institute For Theoretical Physics (Ulm),group
Institut Quantique,group
Integrated Quantum Technologies Group,group
Integrated Quantum Technology Group,group
Intel Labs,group
Interfaces And Correlated Electron Systems Group,group
Ion Quantum Technology Group,group
Jülich Aachen Research Alliance,group
Jülich Research Centre,group
Laboratory For Hybrid Quantum Systems,group
Laboratory For Quantum Enhanced Sensing Techniques,group
Laboratory For Quantum Information Processing,group
Laboratory For Research On Material Sciences,group
Laboratory For Ultracold Quantum Gases,group
Laboratory Of Coherent Manipulation Of Atoms And Light,group
Gupta Laboratory Of Natural Information Processing,group
