index,Classification,SubClassification,Type,Type Description,
0,Definition,,Primary Classification,Highest level of classification for quantum technology company,
1,Definition,,Secondary Classification,More specific sub-classifications for quantum technology where relevant,
2,Definition,,Offering Tags,Provides key offerings that organization provides,
3,Definition,,Application Tags,Application areas that organization addresses,
4,Definition,,Approach,Covers approach to Quantum Computing (e.g. distinguishes between Gate Based and Annealing systems),
5,Definition,,Cloud Accessability,Flags where company is accessible via,
6,Definition,,Listed Corporate Division,Company facilitates access to,
7,Definition,,Listed Company,Full listed company (i.e. not a division),
8,Definition,,Qubit type,See Secondary Classifaction above,
9,Definition,,Latest Metric,Number of Qubits,
10,Definition,,Stated Goal,Publicly state goal for number of Qubits,
11,Definition,,Technology detail,Further detail on the company's offering,
12,Quantum Type,,Quantum Computing,"Organization focusses on Quantum Computing, the use of quantum phenomena such as superposition and entanglement to perform computation",
13,Quantum Type,,Quantum Sensing & Imaging,Organization focusses on Quantum Sensing & Imaginfg. It therefore deals with the design and engineering of quantum sources and quantum measurements that are able to beat the performance of any classical strategy in a number of technological applications,
14,Quantum Type,,Quantum Communications & Security,Organization focusses on Quantum Communication & Security. It therefore takes advantage of the laws of quantum physics to protect data,
15,Quantum Type,,Multiple,Organization involved in multiple quantum technology types,
16,Primary Classification,,Full stack,"Build full stack quantum computers (hardware, software, applications)",
17,Primary Classification,,Quantum Computers,Develop full Quantum Computers (but not the software),
18,Primary Classification,,Hardware components,Sells hardware that are used in Quantum Computers,
19,Primary Classification,,Software,Providing software that helps make quantum computers useful,
20,Primary Classification,,Quantum Access,Providing cloud access / interfaces / development kits for quantum computers (includes simulators),
21,Primary Classification,,Quantum Applications,Using quantum technology for specific applications,
22,Primary Classification,,Quantum Security,Providing software aimed at protecting from Quantum Computers,
23,Primary Classification,,Consultancy,Providing advice on the market / technical DD (includes other companies with consultancy approach),
24,Primary Classification,,Quantum Sensing & Imaging,Creating quantum sensing technology,
25,Primary Classification,,Other quantum,Other quantum related companies,
26,Primary Classification,,Education,Organizations providing education around quantum technologies,
27,Primary Classification,,Research,Focussed on research (typically early stage but with ambition to do more commercially),
28,Secondary Classification,Full stack and quantum computers,Superconducting,"Two level system of a superconducting circuit which forms a qubit (a transmon, first developed at Yale)",
29,Secondary Classification,Full stack and quantum computers,Trapped Ion,Single charged ions trapped in magnetic fields. Energy level of its spin comprises the qubits,
30,Secondary Classification,Full stack and quantum computers,Photonics,Qubits made from single particles of light (photons) operating on silicon chips pathways,
31,Secondary Classification,Full stack and quantum computers,Neutral atoms,Qubits made from individual atoms (rather than ions which have a charge),
32,Secondary Classification,Full stack and quantum computers,Topological qubits,Qubits made from Majorana fermions,
33,Secondary Classification,Full stack and quantum computers,Silicon,Artificial atoms made by adding an electron to a small piece of pure silicon and microwaves control the electrons state,
34,Secondary Classification,Hardware components,Processors Chips,Processor units used in Quantum Computing,Processors and Chips
35,Secondary Classification,Hardware components,Lights Lasers,Sources of light for Quantum applications,Lights and Lasers
36,Secondary Classification,Hardware components,Components Cooling Systems,Physical components to cool and transmit used in Quantum Computer,Components Cooling Systems
37,Secondary Classification,Hardware components,Control Systems,Control systems to manage Quantum Computers,
38,Secondary Classification,Hardware components,hardware,Various,Other hardware
39,Secondary Classification,Hardware components,Hardware,Multiple systems,
40,Secondary Classification,Software,Computing Algorithms,Development of algorithms that run on Quantum Computers,Quantum Computing Algorithms
41,Secondary Classification,Software,Development Toolkits,Toolkits to help with the creation of Quantum Computing software or hardware,
42,Secondary Classification,Software,Firmware Enablers,Software that provides control of hardware,Firmware and Enablers
43,Secondary Classification,Software,software,"Provides mix of algorithms, development kit, operating systems",
44,Secondary Classification,Software,software,Various,Other software
45,Secondary Classification,Quantum Applications,Life Sciences,Precision medicine therapies by linking genomes and outcomes ; Developing novelÃ‚Â biologicalÃ‚Â products based on protein folding predictions ; Improving p,
46,Secondary Classification,Quantum Applications,Financial,"Front-office and back-office decisions on client management ; Treasury management, trading and asset management ; Business optimization, including ris",
47,Secondary Classification,Quantum Applications,Artificial intelligence Machine Learning AI ML,Quantum-enhanced generative models enlarge the given dataset with more content (both in terms of quantity and variety) ; Improvements on Natural Langu,AI / ML
48,Secondary Classification,Quantum Applications,applications,Chemistry (e.g.modelling multi-reference states of molecules) ; Logistics (e.g. traffic optimization model) ; Manufacturing ,
49,Secondary Classification,Quantum Applications,applications,"Multiple applications (typically combination of life sciences, financial and AI / ML)",
50,Secondary Classification,Quantum Security,Post Encryption security,Algorithms and encryption resistant to Quantum Computers,
51,Secondary Classification,Quantum Security,Key Distribution security,Focussed on Quantum Key Distribution infrastructure and technology,Quantum Key Distribution
52,Secondary Classification,Quantum Security,Hardware Security,Physical components used for security purposes (e.g. Random Number Generators),
53,Secondary Classification,Quantum Security,Security Solutions,"Provides a mix of hardware, software and other solutions",
54,Secondary Classification,Other Quantum,Chip design,"Design, prototyping and possibly manufacturing of CMOS, cryo-CMOS and other type of processors",
55,Secondary Classification,Other Quantum,dots,"Semiconductor nanostructure that confines the motion of conduction band electrons, valence band holes, or excitons (bound pairs of conduction band ele",
56,Secondary Classification,Other Quantum,Imagers,Combination of high resolution see-through displays and optics systems,
57,Secondary Classification,Other Quantum,Well discrete energy,"Well like structure that confines particles, turning 3 dimensions into two.",Quantum Well
