3i Group
5Y Capital
Alphabet
Alumni Venture Group
Alvarium
Andre Crawford-Brunt
Anglia Capital Group
Appleyard Lees
Arda Kutsal
BIC Gipuzkoa Berrilan
Bob Beauchamp
Breakthrough Energy Ventures
Canada Strategic Innovation Fund
CCB International
Center for Innovative Technology
Charles Stonehill
Charlie Songhurst
Chengdu Industrial Investment
China Internet Investment Fund
China Life Healthcare Fund
Chris Adelsbach
CICC Qizhi
Comstock
Crédit Agricole
CryptoNext Security
Daphni
David Beyer
Dentsu Group
Draper Esprit
EASO
Elizabeth Hunker
Eni Next
EOS technologies
Erick Miller
Eurostars SME programme
Farzad Nazem
Fidelity Management & Research Company LLC
FOREIS
Foundry Group
FREES Fund
Future Fifty
George Armoyan
Goel Fund
Guoxin Fund
Gyan Kapur
Hyundai Motor Company and Kia Corporation
Ian McNish
IN Venture
Investing Women
ITOCHU Corporation
James Field
John Power
John Spindler
Jon Soberg
JSR Corporation
Kelvin Capital
Lars Fjeldsoe-Nielsen
LCP Quantum Partners
LG Technology Ventures
MassChallenge
Mondragon Corporation
MSD Partners
Mustard Seed Maze
NBC Angel Fund
NEC Capital Solutions
Neotec Capital Riesgo
Nimble Ventures
Pangu Turing
Paul Buchheit
Penja Strategy
Peter Thiel
PICC Capital
PMV
Posa CV
Qbic Fund
QVentures
Renren
Robert Beauchamp
Salvia GmbH
Santander UK
Santo Venture Capital GmbH
Scout Ventures
Seed Gipuzkoa
Sequoia Capital India
Serendipity Capital
SIG China
Silver Lake
SK Telecom
SoftBank
SP Invest
Speedinvest
Taryn Naidu
Tencent Holdings
The Future Fund
The Robotics Hub
Tim Draper
Tom McInerney
Tom Williams
Upscale
VIGO Ventures
Vy Capital
Will Neale
Yael Capital Management Limited
ZhenFund
Zhongguancun Development Frontier Fund
Zhongguancun Gold Seed Fund
Zhongke Yucheng
Zhongtian Fortune
415 Capital
500 Startups
7percent Ventures
8VC
A&E Investments
Abies Ventures
Accelerate New York Seed Fund
Accelerated Digital Ventures (ADV)
Accenture
Acequia Capital (Acecap)
ACME
Ahren Innovation Capital
AI Seed
Airbus Ventures
Alchemist Accelerator
Allianz
Alpha Intelligence Capital
Alumni Ventures Group
Amadeus Capital Partners
Amazon
AME Ventures
Amplify Partners
Andreessen Horowitz
Anorak Ventures
anri
AORTA Capital AS
Apex Ventures
Atmos Ventures
Atomico
Avigdor Willenz
AXA Life Japan
Baillie Gifford
Balderton Capital
Barclays Accelerator
BASF Venture Capital
Batshit Crazy Ventures
Battery Ventures
BC Investment Management Corporation
Berggruen Holdings
Bessemer Venture Partners
Bezos Expeditions
Bill Gates
BlackRock
Bloomberg Beta
BlueYard Capital
Boost VC
BoxGroup
BPIFrance
Breega
British Business Bank
btov Partners
Business Development Bank of Canada
Business Finland
Business Growth Fund
Cambium VC
Cambridge Enterprise
Cambridge Innovation Capital
Canaan
Canadian Government
Canadian Strategic Innovation Fund
Cantos
Capricorn
Chengwei Capital
Citigroup
Civilization Ventures
CME Ventures
Comcast Ventures
Commonwealth Bank of Australia
Correlation Ventures
Cota Capital
Crane Ventures
Creative Destruction Lab
Creative Ventures
Crosslink Capital
D.E. Shaw Group
DARPA
DCVC (Data Collective)
DEEPCORE
DeepWork Capital
Differential Ventures
Digital Ventures
Siam Commercial Bank (Digital Ventures)
Draper Fisher Jurvetson
Dymon Asia Ventures
EASME
EASME EU Executive Agency for SMEs
Ecliptic Capital
EDBI
Elaia Partners
Elev8.vc
Engineering and Physical Sciences Research Council
Eniac Ventures
Entrée Capital
Entrepreneur First (EF)
EQT Ventures
eQventure
European Innovation Council
Evolution Equity
FAM AB
Felicis Ventures
Fenox Venture Capital
FF Science
Fidelity Investments
Fifty Years
Firebolt Ventures
Fitz Gate Ventures
Florida Institute for the Commercialization of Public Research
Fluxus Ventures
Flybridge Capital Partners
Forward.ONE
FoundersFund
FoundersX Ventures
Franklin Templeton
Fujitsu
G Ventures
Georgian Partners
Global Brain Corporation
Global Founders Capital
Global Frontier Investments
Golden Gate Ventures
Golden Ventures
Goldman Sachs
Granpool
GreatPoint Ventures
GrowthWorks
GV (formerly Google Ventures)
Harel Insurance Investments and Financial Services
HealthInc
Hermann Hauser Investment GmbH
Hewlett Packard Pathfinder
High-Tech Gründerfonds
Hoepfner Brau
Honeywell Venture Capital
Horizons Ventures
Horsley Bridge Partners
Hoxton Ventures
IBM
Icebreaker
In-Q-Tel
Industrial Strategy Challenge Fund
Initiative for Industrial Innovators
INKEF Capital
Innovacom
Innovate UK
Innovation Endeavors
Innovation Network Corporation of Japan
Innovation Norway
iNovia
International Investment & Underwriting
Investiere
IP Group
IQ Capital
Isomer Capital
JAFCO Asia
KEC Ventures
Kensington Capital Partners
Khosla Ventures
Kindred Capital
La Roca Capital
LeFrak
Lenovo
Lightspeed Venture Partners
Lim Teck Lee
Liquid 2 Ventures
Lockheed Martin
London Co-Investment Fund
Luminous VC
Lux Capital
M Ventures
M12
Main Sequence Ventures
Maki.vc
Manta Ray Ventures
Martlet Capital
Maryland Venture Fund
Matadero QED
Maverick Ventures
Merck Global Health Innovation Fund
Merck Ventures
Meron Capital
MIG AG
MIRAI SOUZOU
Mitsubishi UFJ Capital
Mitsui Global Investment
Mizuho Capital
Morado Venture Partners
Morpheus Ventures
Mubadala Capital
National Science Foundation
New Enterprise Associates
New Ground Ventures
New South Wales Government
New Technology Ventures
Nikon
Northgate Capital
Northland Wealth Management
Norwegian Research Council
Notion Capital
NTT Docomo
Nvidia Inception
Octopus Ventures
OMERS Ventures
OostNL
OpenOcean
OUP (Osage University Partners)
OurCrowd
Overkill Ventures
Oxford Investment Consultants
Oxford Sciences Innovation
Parkwalk
Partnership Fund for New York City
Pegasus Tech Ventures
PenderFund Capital Management
Pentech
PhysTech Ventures
Pillar VC
Pitango Venture Capital
Playground Global
Plug and Play Ventures
Prelude Ventures
Propagator Ventures
PSP Investments
Quantonation
Quantum 1 Investments
Quantum Valley Investments
Qubit Protocol
Radical Ventures
Ramen Ventures
Real Ventures
Redpoint
Rigetti Computing
Rising Tide
Robert Bosch Venture Capital
Royal Bank of Scotland (Silicon Valley Solutions)
Runa Capital
S28 Capital
Safran Corporate Ventures
Samsung Catalyst Fund
Samsung Next Q Fund
Samsung Ventures
SBI Investment
Scottish Enterprise
Seabed VC
Seier Capital
Sequoia
Sequoia Capital China
Seraphim Capital
Seraphim Space
SGInnovate
Shasta Ventures
Shinsei Corporate Investment
Sierra Ventures
Silicon Valley Bank
Singularity University Ventures
Social Capital
Space Capital
SPARX Group
Square Peg Capital
Stanhill Capital
Starquest Capital
Streamlined Ventures
Summer Capital
Supernova Invest
Susa Ventures
Sustainable Development Technology Canada
Sutter Hill Ventures
SV Angel
Swiss Federal Foundation for Promotion of the National Economy through Scientific Research
Tao Capital Partners
Team8
Techstars
Telstra
Tesi
The Engine
Threshold
Tiger Global
TIS Japan
TLV Partners
Tokyo Century
Tribeca Venture Partners
UbiQD
UCL Technology Fund
Uncork Capital
United States Air Force
University of New South Wales
University of Tokyo Edge Capital
Unternehmertum Venture Capital
US Department of Energy
US Government
UTokyo Innovation Platform
Vanedge Capital
Venrock
Venture Kick
Village Global
Vito Ventures
VMS Investment Group
Vsquared
Wavemaker Partners
Wayra
Wing Venture Capital
WorldQuant Ventures
WS Investments
Y Combinator
Y Combinators Continuity Fund
Zürcher Kantonal Bank
1517 Fund
180 Degree Capital
Deepbridge Capital
Third Point Ventures
Primer Movers Lab
Lakestar
Addition
DPCM Capital
Yorkville Advisors
Aegis Group Partners
Jorma Ollila
Dawn Capital
Thames Trust
K5 Global
Arena Holdings
Xora Innovation
TIS Ventures
Spike Ventures
Sumitomo Corporation
Gazprombank
Nielsen Ventures
Niels Nielsen
Voima Ventures
Remus Capital
Legend Capital
Oriza Holdings
Wuxi Capital
Legend Star
China Fortune Tech Capital
Ambrum Capital
Foresight Williams
Verve Ventures
Department of Energy
Breyer Capital
Eric Schmidt
Thomas Tull
T.Rowe Price
Guggenheim Investments
Time Ventures
Parkway Venture Capital
Section 32
